GO:0000002	WBGene00027672
GO:0000003	WBGene00023826,WBGene00024356,WBGene00024943,WBGene00024976,WBGene00025179,WBGene00025530,WBGene00025536,WBGene00025576,WBGene00025646,WBGene00026003,WBGene00026084,WBGene00026527,WBGene00027708,WBGene00028143,WBGene00028270,WBGene00028423,WBGene00028484,WBGene00029075,WBGene00029799,WBGene00030210,WBGene00031223,WBGene00031461,WBGene00032365,WBGene00032994,WBGene00033040,WBGene00033101,WBGene00033778,WBGene00034058,WBGene00036596,WBGene00036728,WBGene00036935,WBGene00038870,WBGene00039027,WBGene00039438,WBGene00040729,WBGene00041372,WBGene00042643
GO:0000012	WBGene00041049
GO:0000019	WBGene00035859
GO:0000022	WBGene00026971
GO:0000027	WBGene00023936,WBGene00024087,WBGene00024572,WBGene00024875,WBGene00024992,WBGene00025341,WBGene00026442,WBGene00026506,WBGene00026823,WBGene00026897,WBGene00026904,WBGene00027255,WBGene00029232,WBGene00033897,WBGene00034687,WBGene00034993,WBGene00035643,WBGene00036509,WBGene00040874
GO:0000028	WBGene00024266,WBGene00026509,WBGene00028357,WBGene00028716,WBGene00030159,WBGene00033334,WBGene00034328,WBGene00037493,WBGene00040271,WBGene00040875,WBGene00041853
GO:0000032	WBGene00031479,WBGene00038390
GO:0000038	WBGene00023782
GO:0000045	WBGene00024362,WBGene00024700,WBGene00025652,WBGene00025675,WBGene00026611,WBGene00028298,WBGene00028316,WBGene00028347,WBGene00029617,WBGene00030674,WBGene00031926,WBGene00031932,WBGene00032147,WBGene00032230,WBGene00034634,WBGene00034951,WBGene00035277,WBGene00036553,WBGene00037795,WBGene00038967,WBGene00039024,WBGene00040729,WBGene00040775,WBGene00042703,WBGene00042704
GO:0000054	WBGene00029824,WBGene00041435
GO:0000055	WBGene00027255,WBGene00032929,WBGene00034093,WBGene00034098,WBGene00039532,WBGene00041908
GO:0000056	WBGene00026602,WBGene00039532
GO:0000070	WBGene00026218,WBGene00026527,WBGene00026650,WBGene00031519,WBGene00033364,WBGene00035604,WBGene00037276,WBGene00037484,WBGene00040547
GO:0000075	WBGene00033036
GO:0000076	WBGene00026738
GO:0000077	WBGene00025777,WBGene00025790,WBGene00026508,WBGene00026732,WBGene00026733,WBGene00030812,WBGene00031647,WBGene00031648,WBGene00031651,WBGene00031689,WBGene00033036,WBGene00034017,WBGene00037790,WBGene00038570,WBGene00040661
GO:0000079	WBGene00025758,WBGene00027217,WBGene00027722,WBGene00027981,WBGene00029121,WBGene00032375,WBGene00033086,WBGene00033670,WBGene00033775,WBGene00035798,WBGene00035815,WBGene00037214,WBGene00037307,WBGene00037522,WBGene00037616,WBGene00039171
GO:0000082	WBGene00033670,WBGene00040142
GO:0000086	WBGene00027702,WBGene00028843,WBGene00030028,WBGene00033554
GO:0000103	WBGene00026273
