,Gene,AF16_Control,AF16_Treatment,HK104_Control,HK104_Treatment,log2foldchange_control,log2foldchange_treatment
0,WBGene00000307,446,319,472,453,-0.08174314944153648,-0.5059546262813657
1,WBGene00000312,9,8,11,3,-0.2895066171949848,1.4150374992788437
2,WBGene00000324,21,16,24,5,-0.19264507794239588,1.6780719051126378
3,WBGene00000328,490,626,448,478,0.12928301694496647,0.3891520389518698
4,WBGene00000329,222,148,203,165,0.12907994916492974,-0.156868848616866
5,WBGene00000332,2449,1122,2107,1067,0.21700245974667193,0.07251249978436797
6,WBGene00000333,2817,1806,3582,1848,-0.34660577361103045,-0.03316686393519929
7,WBGene00000343,117,106,171,115,-0.5474877953024933,-0.11756959638117603
8,WBGene00000365,128116,36999,123592,36863,0.05186529862853192,0.0053127927024207286
9,WBGene00023521,462,249,444,174,0.057333175065951626,0.5170584362193528
10,WBGene00023522,1,1,1,2,0.0,-1.0
11,WBGene00023523,9,1,36,8,-2.0,-3.0
12,WBGene00023525,262,300,280,324,-0.09586001540751617,-0.11103131238874384
13,WBGene00023526,2182,2041,1985,1881,0.13651209429328695,0.11777633350952402
14,WBGene00023527,308,283,339,301,-0.13835492244144246,-0.08896143392781965
15,WBGene00023528,20,16,1,1,4.321928094887363,4.0
16,WBGene00023530,8,10,1,1,3.0,3.321928094887362
17,WBGene00023532,5,1,7,1,-0.4854268271702417,0.0
18,WBGene00023533,2263,2046,2258,2332,0.003191098493891634,-0.18876164345516774
19,WBGene00023536,2767,3209,3302,3418,-0.2550174763033035,-0.09102860739433193
20,WBGene00023537,3,1,11,2,-1.8744691179161412,-1.0
21,WBGene00023538,616,460,664,497,-0.10825289065202341,-0.11161199061791102
22,WBGene00023539,18,6,15,6,0.2630344058337938,0.0
23,WBGene00023540,1563,981,1403,880,0.15580276937976512,0.1567496126945791
24,WBGene00023541,1592,1150,1642,1265,-0.04461379123415593,-0.13750352374993496
25,WBGene00023542,598,582,521,505,0.19886211191959693,0.20473576526912668
26,WBGene00023543,194,224,239,237,-0.3009539657936209,-0.08138832684065499
27,WBGene00023545,78,32,178,71,-1.1903312121041494,-1.149747119504682
28,WBGene00023546,15,36,18,14,-0.2630344058337938,1.3625700793847084
29,WBGene00023547,80,29,25,23,1.6780719051126378,0.3344190390705593
30,WBGene00023548,3620,3842,3474,3480,0.059391943260174856,0.14277021292943642
31,WBGene00023549,12,22,18,17,-0.5849625007211563,0.37196877738695794
32,WBGene00023552,39,49,230,48,-2.560087832082127,0.02974734339405193
33,WBGene00023553,45,22,28,18,0.6844981742720707,0.289506617194985
34,WBGene00023554,515,324,517,285,-0.0055918482443538635,0.18503189383252067
35,WBGene00023555,538,317,552,306,-0.03706209422154491,0.050951187446755614
36,WBGene00023556,25,1,1,2,4.643856189774724,-1.0
37,WBGene00023557,49,15,35,18,0.48542682717024166,-0.2630344058337938
38,WBGene00023558,11,7,2,1,2.4594316186372973,2.807354922057604
39,WBGene00023559,33,25,18,16,0.874469117916141,0.6438561897747247
40,WBGene00023560,31,14,30,19,0.04730571477835682,-0.4405725913859815
42,WBGene00023562,122,63,209,96,-0.7766217945179964,-0.6076825772212398
43,WBGene00023564,461,99,314,58,0.554002191537711,0.7713756249520375
44,WBGene00023565,59,9,52,7,0.18220333122074905,0.36257007938470837
45,WBGene00023566,8,1,1,14,3.0,-3.807354922057604
46,WBGene00023569,264,119,102,33,1.371968777386958,1.85042364394949
47,WBGene00023570,1,2,1,2,0.0,0.0
48,WBGene00023571,198,86,179,63,0.14554084281535326,0.4489848312021815
49,WBGene00023572,4,1,1,1,2.0,0.0
50,WBGene00023573,195,94,265,73,-0.44251823570095095,0.3647642927976202
51,WBGene00023574,11,6,7,3,0.6520766965796931,1.0
52,WBGene00023575,447,44,280,45,0.6748480042383513,-0.0324214776923775
53,WBGene00023576,141,62,91,55,0.6317567122000973,0.17283659686221553
54,WBGene00023577,53,12,70,21,-0.4013625623817673,-0.8073549220576042
55,WBGene00023578,1,1,1,1,0.0,0.0
56,WBGene00023579,472,113,84,15,2.490325626583081,2.913288366806669
57,WBGene00023580,40,25,12,2,1.7369655941662063,3.643856189774725
58,WBGene00023581,12,12,18,21,-0.5849625007211563,-0.8073549220576042
60,WBGene00023583,1,3,1,2,0.0,0.5849625007211562
61,WBGene00023584,34,34,24,29,0.5025003405291834,0.22948184612276717
62,WBGene00023585,14,5,20,5,-0.5145731728297583,0.0
63,WBGene00023586,541,299,430,217,0.33129193423735503,0.46245044175362565
64,WBGene00023587,83,74,2,1,5.3750394313469245,6.20945336562895
65,WBGene00023589,30,8,5,1,2.584962500721156,3.0
66,WBGene00023591,204,133,123,75,0.7299108366322556,0.8264637450053088
67,WBGene00023592,12,20,8,7,0.5849625007211562,1.5145731728297582
68,WBGene00023593,111,132,55,63,1.0130561528254463,1.067114195858537
69,WBGene00023594,43,62,109,22,-1.3419195700748283,1.494764691749578
71,WBGene00023596,5,185,36,23,-2.84799690655495,3.0078195044592992
72,WBGene00023597,3,1,1,1,1.584962500721156,0.0
73,WBGene00023598,8,1,1,1,3.0,0.0
75,WBGene00023600,205,161,95,72,1.1096244911744981,1.1609918766723046
76,WBGene00023601,25,18,13,5,0.9434164716336326,1.84799690655495
77,WBGene00023602,174,28,2,1,6.442943495848728,4.807354922057604
78,WBGene00023603,175,159,1,31,7.451211111832329,2.35868664489748
79,WBGene00023604,2,2,1,1,1.0,1.0
81,WBGene00023606,333,161,4,5,6.379378367071262,5.008988783227255
82,WBGene00023607,6,1,4,2,0.5849625007211562,-1.0
83,WBGene00023609,5,2,326,70,-6.026800059343715,-5.129283016944966
84,WBGene00023610,83,79,57,1,0.5421494171821831,6.303780748177103
85,WBGene00023612,22,3,3,1,2.8744691179161412,1.584962500721156
86,WBGene00023613,10,9,37,17,-1.8875252707415873,-0.9175378398080271
87,WBGene00023614,285,68,311,84,-0.1259526610784986,-0.3048545815284209
88,WBGene00023615,9,1,2,2,2.169925001442312,-1.0
89,WBGene00023616,2,7,10,3,-2.321928094887362,1.222392421336448
90,WBGene00023620,6,1,1,1,2.584962500721156,0.0
92,WBGene00023625,6,1,1,1,2.584962500721156,0.0
93,WBGene00023626,26,6,8,3,1.7004397181410922,1.0
94,WBGene00023627,27,22,694,545,-4.683904350414792,-4.630680801026991
95,WBGene00023628,1,1,1,14,0.0,-3.807354922057604
96,WBGene00023630,59,101,31,19,0.9284467389749661,2.4102839693082094
97,WBGene00023631,7,4,1,1,2.807354922057604,2.0
98,WBGene00023632,41,6,61,23,-0.5731853329448027,-1.9385994553358568
100,WBGene00023634,110,57,61,41,0.8506223759617734,0.4753380095466579
102,WBGene00023636,371,293,182,110,1.027480736422107,1.4133971408975883
103,WBGene00023640,4,4,1,1,2.0,2.0
106,WBGene00023643,1,2,1,2,0.0,0.0
107,WBGene00023644,35,23,24,19,0.5443205162238102,0.27563444261342734
