Gene	AF16_Control	Gene_2	AF16_Treatment	Gene_3	HK104_Control	Gene_4	HK104_Treatment
WBGene00000307	446	WBGene00000307	319	WBGene00000307	472	WBGene00000307	453
WBGene00000312	9	WBGene00000312	8	WBGene00000312	11	WBGene00000312	3
WBGene00000324	21	WBGene00000324	16	WBGene00000324	24	WBGene00000324	5
WBGene00000328	490	WBGene00000328	626	WBGene00000328	448	WBGene00000328	478
WBGene00000329	222	WBGene00000329	148	WBGene00000329	203	WBGene00000329	165
WBGene00000332	2449	WBGene00000332	1122	WBGene00000332	2107	WBGene00000332	1067
WBGene00000333	2817	WBGene00000333	1806	WBGene00000333	3582	WBGene00000333	1848
WBGene00000343	117	WBGene00000343	106	WBGene00000343	171	WBGene00000343	115
WBGene00000365	128116	WBGene00000365	36999	WBGene00000365	123592	WBGene00000365	36863
WBGene00023521	462	WBGene00023521	249	WBGene00023521	444	WBGene00023521	174
WBGene00023522	1	WBGene00023522	0	WBGene00023522	1	WBGene00023522	2
WBGene00023523	9	WBGene00023523	1	WBGene00023523	36	WBGene00023523	8
WBGene00023525	262	WBGene00023525	300	WBGene00023525	280	WBGene00023525	324
WBGene00023526	2182	WBGene00023526	2041	WBGene00023526	1985	WBGene00023526	1881
WBGene00023527	308	WBGene00023527	283	WBGene00023527	339	WBGene00023527	301
WBGene00023528	20	WBGene00023528	16	WBGene00023528	1	WBGene00023528	0
WBGene00023530	8	WBGene00023530	10	WBGene00023530	1	WBGene00023530	0
WBGene00023532	5	WBGene00023532	0	WBGene00023532	7	WBGene00023532	0
WBGene00023533	2263	WBGene00023533	2046	WBGene00023533	2258	WBGene00023533	2332
WBGene00023536	2767	WBGene00023536	3209	WBGene00023536	3302	WBGene00023536	3418
WBGene00023537	3	WBGene00023537	0	WBGene00023537	11	WBGene00023537	2
WBGene00023538	616	WBGene00023538	460	WBGene00023538	664	WBGene00023538	497
WBGene00023539	18	WBGene00023539	6	WBGene00023539	15	WBGene00023539	6
WBGene00023540	1563	WBGene00023540	981	WBGene00023540	1403	WBGene00023540	880
WBGene00023541	1592	WBGene00023541	1150	WBGene00023541	1642	WBGene00023541	1265
WBGene00023542	598	WBGene00023542	582	WBGene00023542	521	WBGene00023542	505
WBGene00023543	194	WBGene00023543	224	WBGene00023543	239	WBGene00023543	237
WBGene00023545	78	WBGene00023545	32	WBGene00023545	178	WBGene00023545	71
WBGene00023546	15	WBGene00023546	36	WBGene00023546	18	WBGene00023546	14
WBGene00023547	80	WBGene00023547	29	WBGene00023547	25	WBGene00023547	23
WBGene00023548	3620	WBGene00023548	3842	WBGene00023548	3474	WBGene00023548	3480
WBGene00023549	12	WBGene00023549	22	WBGene00023549	18	WBGene00023549	17
WBGene00023552	39	WBGene00023552	49	WBGene00023552	230	WBGene00023552	48
WBGene00023553	45	WBGene00023553	22	WBGene00023553	28	WBGene00023553	18
WBGene00023554	515	WBGene00023554	324	WBGene00023554	517	WBGene00023554	285
WBGene00023555	538	WBGene00023555	317	WBGene00023555	552	WBGene00023555	306
WBGene00023556	25	WBGene00023556	0	WBGene00023556	1	WBGene00023556	2
WBGene00023557	49	WBGene00023557	15	WBGene00023557	35	WBGene00023557	18
WBGene00023558	11	WBGene00023558	7	WBGene00023558	2	WBGene00023558	1
WBGene00023559	33	WBGene00023559	25	WBGene00023559	18	WBGene00023559	16
WBGene00023560	31	WBGene00023560	14	WBGene00023560	30	WBGene00023560	19
WBGene00023561	0	WBGene00023561	0	WBGene00023561	0	WBGene00023561	1
WBGene00023562	122	WBGene00023562	63	WBGene00023562	209	WBGene00023562	96
WBGene00023564	461	WBGene00023564	99	WBGene00023564	314	WBGene00023564	58
WBGene00023565	59	WBGene00023565	9	WBGene00023565	52	WBGene00023565	7
WBGene00023566	8	WBGene00023566	1	WBGene00023566	1	WBGene00023566	14
WBGene00023569	264	WBGene00023569	119	WBGene00023569	102	WBGene00023569	33
WBGene00023570	0	WBGene00023570	2	WBGene00023570	0	WBGene00023570	2
WBGene00023571	198	WBGene00023571	86	WBGene00023571	179	WBGene00023571	63
WBGene00023572	4	WBGene00023572	0	WBGene00023572	1	WBGene00023572	0
WBGene00023573	195	WBGene00023573	94	WBGene00023573	265	WBGene00023573	73
WBGene00023574	11	WBGene00023574	6	WBGene00023574	7	WBGene00023574	3
WBGene00023575	447	WBGene00023575	44	WBGene00023575	280	WBGene00023575	45
WBGene00023576	141	WBGene00023576	62	WBGene00023576	91	WBGene00023576	55
WBGene00023577	53	WBGene00023577	12	WBGene00023577	70	WBGene00023577	21
WBGene00023578	1	WBGene00023578	1	WBGene00023578	1	WBGene00023578	0
WBGene00023579	472	WBGene00023579	113	WBGene00023579	84	WBGene00023579	15
WBGene00023580	40	WBGene00023580	25	WBGene00023580	12	WBGene00023580	2
WBGene00023581	12	WBGene00023581	12	WBGene00023581	18	WBGene00023581	21
WBGene00023582	0	WBGene00023582	4	WBGene00023582	0	WBGene00023582	0
WBGene00023583	0	WBGene00023583	3	WBGene00023583	0	WBGene00023583	2
WBGene00023584	34	WBGene00023584	34	WBGene00023584	24	WBGene00023584	29
WBGene00023585	14	WBGene00023585	5	WBGene00023585	20	WBGene00023585	5
WBGene00023586	541	WBGene00023586	299	WBGene00023586	430	WBGene00023586	217
WBGene00023587	83	WBGene00023587	74	WBGene00023587	2	WBGene00023587	0
WBGene00023589	30	WBGene00023589	8	WBGene00023589	5	WBGene00023589	0
WBGene00023591	204	WBGene00023591	133	WBGene00023591	123	WBGene00023591	75
WBGene00023592	12	WBGene00023592	20	WBGene00023592	8	WBGene00023592	7
WBGene00023593	111	WBGene00023593	132	WBGene00023593	55	WBGene00023593	63
WBGene00023594	43	WBGene00023594	62	WBGene00023594	109	WBGene00023594	22
WBGene00023595	0	WBGene00023595	1	WBGene00023595	0	WBGene00023595	0
WBGene00023596	5	WBGene00023596	185	WBGene00023596	36	WBGene00023596	23
WBGene00023597	3	WBGene00023597	1	WBGene00023597	1	WBGene00023597	0
WBGene00023598	8	WBGene00023598	0	WBGene00023598	1	WBGene00023598	0
WBGene00023599	0	WBGene00023599	0	WBGene00023599	2	WBGene00023599	0
WBGene00023600	205	WBGene00023600	161	WBGene00023600	95	WBGene00023600	72
WBGene00023601	25	WBGene00023601	18	WBGene00023601	13	WBGene00023601	5
WBGene00023602	174	WBGene00023602	28	WBGene00023602	2	WBGene00023602	1
WBGene00023603	175	WBGene00023603	159	WBGene00023603	1	WBGene00023603	31
WBGene00023604	2	WBGene00023604	2	WBGene00023604	1	WBGene00023604	0
WBGene00023605	0	WBGene00023605	0	WBGene00023605	1	WBGene00023605	0
WBGene00023606	333	WBGene00023606	161	WBGene00023606	4	WBGene00023606	5
WBGene00023607	6	WBGene00023607	1	WBGene00023607	4	WBGene00023607	2
WBGene00023609	5	WBGene00023609	2	WBGene00023609	326	WBGene00023609	70
WBGene00023610	83	WBGene00023610	79	WBGene00023610	57	WBGene00023610	0
WBGene00023612	22	WBGene00023612	3	WBGene00023612	3	WBGene00023612	1
WBGene00023613	10	WBGene00023613	9	WBGene00023613	37	WBGene00023613	17
WBGene00023614	285	WBGene00023614	68	WBGene00023614	311	WBGene00023614	84
WBGene00023615	9	WBGene00023615	1	WBGene00023615	2	WBGene00023615	2
WBGene00023616	2	WBGene00023616	7	WBGene00023616	10	WBGene00023616	3
WBGene00023620	6	WBGene00023620	1	WBGene00023620	1	WBGene00023620	0
WBGene00023624	0	WBGene00023624	0	WBGene00023624	0	WBGene00023624	1
WBGene00023625	6	WBGene00023625	0	WBGene00023625	1	WBGene00023625	0
WBGene00023626	26	WBGene00023626	6	WBGene00023626	8	WBGene00023626	3
WBGene00023627	27	WBGene00023627	22	WBGene00023627	694	WBGene00023627	545
WBGene00023628	0	WBGene00023628	1	WBGene00023628	0	WBGene00023628	14
WBGene00023630	59	WBGene00023630	101	WBGene00023630	31	WBGene00023630	19
WBGene00023631	7	WBGene00023631	4	WBGene00023631	1	WBGene00023631	1
WBGene00023632	41	WBGene00023632	6	WBGene00023632	61	WBGene00023632	23
WBGene00023633	0	WBGene00023633	0	WBGene00023633	8	WBGene00023633	5
WBGene00023634	110	WBGene00023634	57	WBGene00023634	61	WBGene00023634	41
WBGene00023635	0	WBGene00023635	0	WBGene00023635	0	WBGene00023635	0
WBGene00023636	371	WBGene00023636	293	WBGene00023636	182	WBGene00023636	110
WBGene00023640	4	WBGene00023640	4	WBGene00023640	1	WBGene00023640	0
WBGene00023641	0	WBGene00023641	0	WBGene00023641	11	WBGene00023641	6
WBGene00023642	0	WBGene00023642	0	WBGene00023642	1	WBGene00023642	11
WBGene00023643	1	WBGene00023643	2	WBGene00023643	1	WBGene00023643	2
WBGene00023644	35	WBGene00023644	23	WBGene00023644	24	WBGene00023644	19
WBGene00023645	402	WBGene00023645	568	WBGene00023645	32	WBGene00023645	21
