,go_sequence,p_value
0,GO:0000003,0.159
1,GO:0000012,0.494
2,GO:0000019,0.124
3,GO:0000022,0.156
4,GO:0000027,0.083
5,GO:0000028,0.106
6,GO:0000032,0.601
7,GO:0000038,0.749
8,GO:0000045,0.104
9,GO:0000054,0.397
10,GO:0000055,0.189
11,GO:0000056,0.645
12,GO:0000070,1.0
13,GO:0000075,0.407
14,GO:0000076,0.653
15,GO:0000077,0.085
16,GO:0000079,0.153
17,GO:0000082,0.36
18,GO:0000086,1.0
19,GO:0000103,0.574
20,GO:0000122,1.0
21,GO:0000132,0.084
22,GO:0000147,0.565
23,GO:0000154,0.129
24,GO:0000165,0.362
25,GO:0000183,0.822
26,GO:0000184,0.406
27,GO:0000185,0.145
28,GO:0000186,0.228
29,GO:0000187,1.0
30,GO:0000188,0.358
31,GO:0000209,0.241
32,GO:0000212,0.414
33,GO:0000226,1.0
34,GO:0000244,0.547
35,GO:0000245,0.204
36,GO:0000266,0.099
37,GO:0000278,1.0
38,GO:0000281,0.238
39,GO:0000288,1.0
40,GO:0000289,1.0
41,GO:0000290,0.422
43,GO:0000301,0.652
44,GO:0000302,0.508
45,GO:0000303,0.595
46,GO:0000338,0.353
47,GO:0000349,0.145
48,GO:0000350,0.26
49,GO:0000379,0.505
50,GO:0000380,0.031
51,GO:0000381,0.074
52,GO:0000387,0.291
53,GO:0000388,0.497
54,GO:0000389,0.482
55,GO:0000390,0.066
56,GO:0000395,0.637
57,GO:0000398,1.0
58,GO:0000413,1.0
59,GO:0000422,0.116
60,GO:0000423,0.727
61,GO:0000447,0.257
63,GO:0000455,0.272
64,GO:0000460,0.822
65,GO:0000461,0.615
66,GO:0000462,0.236
67,GO:0000463,0.173
68,GO:0000466,0.456
69,GO:0000467,0.259
70,GO:0000469,0.389
71,GO:0000470,0.667
72,GO:0000472,0.04
73,GO:0000478,0.381
74,GO:0000480,0.059
75,GO:0000492,0.692
76,GO:0000493,0.506
77,GO:0000494,0.817
78,GO:0000495,0.735
79,GO:0000578,0.929
80,GO:0000706,0.24
81,GO:0000710,0.476
82,GO:0000712,0.611
84,GO:0000717,0.141
85,GO:0000722,0.722
86,GO:0000723,0.044
87,GO:0000724,0.296
88,GO:0000727,0.153
89,GO:0000730,0.305
90,GO:0000733,0.732
91,GO:0000737,0.557
92,GO:0000738,0.416
93,GO:0000768,0.201
94,GO:0000902,1.0
95,GO:0000915,0.312
96,GO:0000956,0.205
97,GO:0000965,0.042
98,GO:0000972,0.195
99,GO:0000973,0.169
100,GO:0001172,0.237
101,GO:0001174,0.895
102,GO:0001188,0.819
104,GO:0001306,0.616
106,GO:0001508,0.438
107,GO:0001510,0.323
108,GO:0001514,0.869
109,GO:0001519,0.05
110,GO:0001522,0.121
111,GO:0001525,0.137
112,GO:0001555,0.429
113,GO:0001558,0.767
114,GO:0001561,0.584
115,GO:0001578,0.521
116,GO:0001666,0.599
117,GO:0001667,0.749
118,GO:0001676,0.303
119,GO:0001678,0.239
120,GO:0001682,0.302
121,GO:0001704,0.233
122,GO:0001708,0.402
123,GO:0001709,1.0
124,GO:0001714,0.269
125,GO:0001731,0.412
126,GO:0001732,0.123
127,GO:0001736,0.697
128,GO:0001755,0.012
129,GO:0001764,1.0
130,GO:0001820,0.088
131,GO:0001845,0.063
132,GO:0001881,0.647
133,GO:0001887,0.26
134,GO:0001932,0.852
135,GO:0001933,0.157
136,GO:0001934,0.232
137,GO:0001956,0.487
138,GO:0001966,0.377
139,GO:0002009,1.0
140,GO:0002028,0.107
141,GO:0002031,0.101
142,GO:0002064,0.826
143,GO:0002082,0.21
144,GO:0002084,0.225
145,GO:0002092,0.77
146,GO:0002098,0.22
147,GO:0002100,0.287
148,GO:0002115,0.516
149,GO:0002119,1.0
150,GO:0002128,0.147
151,GO:0002143,0.302
152,GO:0002164,1.0
153,GO:0002181,0.191
154,GO:0002183,0.163
155,GO:0002188,0.62
156,GO:0002225,0.3
157,GO:0002253,0.293
158,GO:0002926,0.3
159,GO:0002943,0.334
160,GO:0002949,0.822
161,GO:0003009,0.715
162,GO:0003333,0.014
163,GO:0003374,0.378
164,GO:0003388,0.579
165,GO:0003391,0.131
166,GO:0003400,0.666
167,GO:0005975,1.0
168,GO:0005977,0.739
169,GO:0005978,0.583
170,GO:0005980,0.743
171,GO:0005991,0.31
172,GO:0005992,0.283
173,GO:0005997,0.51
174,GO:0005998,0.382
175,GO:0006000,0.818
176,GO:0006002,0.306
177,GO:0006003,0.827
178,GO:0006004,0.68
179,GO:0006006,0.58
180,GO:0006007,0.695
181,GO:0006011,0.816
182,GO:0006012,0.495
183,GO:0006013,0.222
184,GO:0006014,0.018
185,GO:0006015,0.302
186,GO:0006021,0.936
187,GO:0006024,0.314
188,GO:0006030,1.0
189,GO:0006031,0.416
190,GO:0006032,0.68
191,GO:0006038,0.434
192,GO:0006043,0.406
193,GO:0006044,0.763
194,GO:0006046,0.77
195,GO:0006047,0.365
196,GO:0006048,0.255
198,GO:0006069,0.31
199,GO:0006071,0.005
200,GO:0006072,0.683
201,GO:0006081,0.929
202,GO:0006082,1.0
203,GO:0006084,0.072
204,GO:0006085,0.485
205,GO:0006086,0.595
206,GO:0006090,0.339
207,GO:0006091,0.225
208,GO:0006094,0.535
209,GO:0006096,0.335
210,GO:0006097,0.379
211,GO:0006098,0.357
212,GO:0006099,0.018
213,GO:0006101,0.098
214,GO:0006102,0.162
215,GO:0006104,0.551
216,GO:0006105,0.526
217,GO:0006106,0.653
218,GO:0006107,0.766
219,GO:0006108,0.305
220,GO:0006116,0.418
221,GO:0006120,0.234
222,GO:0006121,0.065
223,GO:0006122,0.158
224,GO:0006123,0.197
225,GO:0006139,0.113
226,GO:0006144,0.3
227,GO:0006152,1.0
228,GO:0006154,0.212
229,GO:0006163,0.899
230,GO:0006164,0.044
231,GO:0006165,0.281
232,GO:0006166,0.558
233,GO:0006167,0.512
234,GO:0006168,0.39
235,GO:0006171,0.907
236,GO:0006172,0.241
